iter	Passed	Remaining
0	163	114388
1	190	66524
2	222	51705
3	250	43553
4	253	35280
5	279	32354
6	306	30385
7	333	28858
8	359	27592
9	386	26676
10	413	25873
11	418	23967
12	446	23605
13	473	23220
14	504	23022
15	534	22828
16	563	22637
17	590	22391
18	617	22115
19	631	21476
20	658	21282
21	687	21174
22	694	20448
23	707	19934
24	714	19295
25	745	19337
26	775	19321
27	802	19266
28	828	19174
29	857	19144
30	887	19143
31	916	19123
32	930	18805
33	957	18763
34	974	18515
35	979	18070
36	1005	18024
37	1037	18072
38	1067	18093
39	1098	18124
40	1129	18158
41	1161	18193
42	1189	18181
43	1217	18157
44	1252	18236
45	1280	18201
46	1309	18196
47	1339	18192
48	1369	18189
49	1396	18154
50	1405	17881
51	1434	17872
52	1465	17891
53	1494	17877
54	1525	17890
55	1554	17878
56	1583	17858
57	1610	17823
58	1640	17820
59	1673	17854
60	1705	17862
61	1735	17855
62	1765	17847
63	1793	17820
64	1821	17799
65	1850	17780
66	1878	17748
67	1906	17716
68	1937	17715
69	1966	17700
70	1996	17688
71	2026	17673
72	2055	17656
73	2083	17626
74	2113	17612
75	2142	17591
76	2174	17592
77	2203	17572
78	2234	17567
79	2263	17543
80	2294	17535
81	2323	17509
82	2352	17488
83	2380	17457
84	2411	17445
85	2439	17419
86	2471	17411
87	2498	17374
88	2525	17340
89	2553	17306
90	2579	17263
91	2606	17223
92	2635	17200
93	2661	17161
94	2689	17127
95	2714	17080
96	2742	17048
97	2771	17021
98	2800	17001
99	2828	16971
100	2855	16933
101	2882	16896
102	2908	16858
103	2934	16818
104	2961	16784
105	2990	16755
106	3019	16733
107	3049	16718
108	3078	16691
109	3106	16664
110	3136	16642
111	3167	16628
112	3196	16606
113	3224	16576
114	3254	16554
115	3282	16524
116	3313	16510
117	3345	16501
118	3375	16479
119	3401	16442
120	3430	16414
121	3459	16390
122	3487	16358
123	3515	16331
124	3543	16297
125	3574	16285
126	3609	16287
127	3638	16260
128	3667	16235
129	3698	16215
130	3727	16188
131	3759	16176
132	3791	16164
133	3821	16140
134	3851	16117
135	3879	16089
136	3910	16068
137	3938	16040
138	3972	16034
139	4002	16010
140	4032	15987
141	4062	15964
142	4092	15939
143	4129	15946
144	4159	15920
145	4187	15888
146	4214	15853
147	4245	15834
148	4274	15808
149	4302	15776
150	4339	15775
151	4369	15753
152	4398	15723
153	4425	15689
154	4454	15662
155	4458	15549
156	4487	15519
157	4519	15504
158	4522	15387
159	4556	15377
160	4583	15344
161	4611	15314
162	4637	15276
163	4664	15243
164	4692	15214
165	4729	15213
166	4756	15182
167	4788	15162
168	4820	15145
169	4849	15119
170	4880	15099
171	4970	15259
172	5016	15281
173	5046	15254
174	5076	15230
175	5105	15199
176	5137	15180
177	5169	15160
178	5198	15132
179	5227	15100
180	5257	15074
181	5285	15043
182	5312	15009
183	5344	14987
184	5371	14953
185	5400	14925
186	5427	14889
187	5454	14855
188	5479	14815
189	5514	14802
190	5541	14768
191	5570	14739
192	5598	14707
193	5626	14676
194	5655	14647
195	5664	14564
196	5694	14540
197	5721	14506
198	5747	14470
199	5776	14440
200	5803	14407
201	5832	14379
202	5863	14354
203	5888	14318
204	5917	14289
205	5946	14260
206	5971	14222
207	5998	14188
208	6028	14162
209	6056	14131
210	6083	14099
211	6112	14071
212	6126	14006
213	6153	13975
214	6182	13946
215	6210	13917
216	6236	13882
217	6266	13854
218	6295	13826
219	6323	13797
220	6350	13764
221	6381	13739
222	6410	13711
223	6437	13680
224	6468	13655
225	6498	13628
226	6531	13610
227	6560	13581
228	6589	13553
229	6619	13526
230	6627	13455
231	6657	13429
232	6686	13402
233	6719	13381
234	6747	13352
235	6774	13319
236	6808	13301
237	6837	13273
238	6865	13242
239	6895	13216
240	6923	13185
241	6951	13155
242	6976	13120
243	7005	13092
244	7034	13064
245	7066	13041
246	7093	13009
247	7121	12979
248	7148	12947
249	7176	12917
250	7211	12899
251	7239	12870
252	7266	12838
253	7292	12805
254	7319	12773
255	7345	12740
256	7373	12710
257	7407	12690
258	7436	12662
259	7464	12631
260	7492	12602
261	7518	12568
262	7547	12540
263	7576	12513
264	7607	12487
265	7635	12458
266	7664	12430
267	7693	12402
268	7725	12377
269	7755	12352
270	7782	12320
271	7812	12292
272	7842	12266
273	7869	12234
274	7900	12209
275	7931	12184
276	7957	12152
277	7985	12122
278	8013	12092
279	8041	12062
280	8070	12034
281	8104	12013
282	8132	11982
283	8160	11953
284	8188	11923
285	8215	11892
286	8245	11865
287	8273	11836
288	8301	11806
289	8333	11781
290	8361	11751
291	8392	11726
292	8424	11702
293	8453	11673
294	8480	11642
295	8508	11612
296	8534	11580
297	8561	11549
298	8590	11521
299	8618	11490
300	8645	11460
301	8671	11428
302	8699	11398
303	8729	11371
304	8760	11345
305	8791	11320
306	8825	11297
307	8858	11274
308	8887	11245
309	8920	11222
310	8953	11199
311	8985	11174
312	9015	11147
313	9046	11121
314	9083	11102
315	9125	11089
316	9156	11062
317	9190	11039
318	9219	11011
319	9253	10988
320	9287	10966
321	9316	10936
322	9346	10908
323	9372	10877
324	9404	10851
325	9438	10828
326	9472	10805
327	9502	10777
328	9531	10748
329	9561	10720
330	9594	10695
331	9625	10669
332	9652	10637
333	9681	10609
334	9712	10582
335	9741	10552
336	9771	10525
337	9801	10497
338	9828	10466
339	9832	10411
340	9865	10386
341	9895	10358
342	9927	10333
343	9964	10312
344	9992	10282
345	10020	10252
346	10049	10223
347	10081	10197
348	10109	10167
349	10139	10139
350	10167	10109
351	10197	10081
352	10267	10092
353	10320	10087
354	10364	10072
355	10393	10042
356	10421	10012
357	10454	9987
358	10484	9958
359	10512	9928
360	10542	9899
361	10576	9875
362	10607	9847
363	10639	9821
364	10668	9791
365	10697	9761
366	10724	9730
367	10753	9701
368	10782	9671
369	10812	9643
370	10839	9612
371	10867	9582
372	10895	9551
373	10901	9502
374	10929	9472
375	10959	9444
376	10989	9415
377	11017	9385
378	11046	9355
379	11075	9327
380	11103	9296
