depth_mid_ft,depth_span_ft,porosity_mid_pct,porosity_span_pct,perm_mid_md,perm_span_md,api_mid,api_span,visc_mid_cp,visc_span_cp,so_mid_pct,so_span_pct,log10_perm_mid,log10_visc_mid,formation_sandstone,formation_carbonates,formation_unconsolidated_sands
3000.0,5500.0,27.0,24.0,5050.0,9900.0,15.0,14.0,250009.0,499982.0,55.0,70.0,3.7032913781186614,5.39795564299197,1.0,0.0,0.0
1662.5,2975.0,32.5,15.0,7650.0,14700.0,17.0,16.0,100087.5,199825.0,69.0,42.0,3.8836614351536176,5.000379841515226,0.0,0.0,1.0
1025.0,950.0,42.5,45.0,1000.5,1999.0,19.5,19.0,2013.0,3974.0,65.0,40.0,3.00021709297223,3.3038437748886547,0.0,1.0,0.0
6775.0,10350.0,19.0,18.0,1154.5,2291.0,36.0,18.0,1.65,2.7,51.5,51.0,3.062393937253195,0.21748394421390627,1.0,0.0,0.0
7550.0,7100.0,14.0,20.0,2500.05,4999.9,36.5,17.0,3.16,5.68,59.5,59.0,3.397948694474818,0.49968708261840383,0.0,1.0,0.0
8875.0,9750.0,17.0,18.0,760.0,1480.0,30.0,22.0,36.65,72.7,52.5,55.0,2.8808135922807914,1.5640739789771467,1.0,0.0,0.0
6595.0,5110.0,13.0,10.0,2501.5,4997.0,42.5,11.0,0.485,0.69,60.0,60.0,3.398200507219428,-0.3142582613977364,0.0,1.0,0.0
3037.5,4825.0,24.5,19.0,2503.5,4993.0,23.5,21.0,2502.5,4995.0,63.5,37.0,3.398547595734928,3.3983740861513563,1.0,0.0,0.0
1232.5,1665.0,32.0,0.0,650.0,0.0,19.0,0.0,660.0,0.0,94.0,0.0,2.8129133566428557,2.8195439355418688,1.0,0.0,0.0
3285.0,330.0,29.0,2.0,11500.0,7000.0,13.4,7.199999999999999,325.0,450.0,75.0,10.0,4.060697840353612,2.5118833609788744,0.0,0.0,1.0
8900.0,1200.0,18.5,3.0,12.5,5.0,34.5,7.0,1.7,0.6000000000000001,67.5,35.0,1.0969100130080565,0.2304489213782739,0.0,1.0,0.0
7562.5,13875.0,14.5,5.0,47.5,5.0,33.0,12.0,1.75,2.5,43.5,15.0,1.6766936096248666,0.24303804868629444,1.0,0.0,0.0
4800.0,0.0,14.0,0.0,40.0,40.0,34.0,0.0,2.6,0.0,50.0,0.0,1.6020599913279623,0.414973347970818,0.0,1.0,0.0
2500.0,1000.0,50.0,0.0,0.55,0.9,30.0,0.0,2.0,0.0,50.0,0.0,-0.2596373105057561,0.3010299956639812,0.0,1.0,0.0
886.0,1372.0,21.5,9.0,190.0,20.0,27.25,8.5,25.0,12.0,54.0,0.0,2.278753600952829,1.3979400086720377,1.0,0.0,0.0
1725.0,750.0,33.0,2.0,1750.0,500.0,13.0,2.0,2125.0,2450.0,31.5,33.0,3.2430380486862944,3.3273589343863303,1.0,0.0,0.0
4900.0,0.0,8.0,0.0,55.0,90.0,36.0,8.0,1.05,0.9,40.0,0.0,1.7403626894942439,0.021189299069938092,0.0,1.0,0.0
