technique,formation,depth_min,depth_max,por_min,por_max,perm_min,perm_max,api_min,api_max,visc_min,visc_max,so_min,so_max,record_fingerprint
Steam,Sandstone,250.0,5750.0,15.0,39.0,100.0,10000.0,8.0,22.0,18.0,500000.0,20.0,90.0,42bfe0e97e74106f
Steam,Unconsolidated sands,175.0,3150.0,25.0,40.0,300.0,15000.0,9.0,25.0,175.0,200000.0,48.0,90.0,7b02b3b550710c2b
Steam,Carbonates,550.0,1500.0,20.0,65.0,1.0,2000.0,10.0,29.0,26.0,4000.0,45.0,85.0,c70f8c55dd7fd009
Miscible CO2,Sandstone,1600.0,11950.0,10.0,28.0,9.0,2300.0,27.0,45.0,0.3,3.0,26.0,77.0,69c6daf6f9d873e6
Miscible CO2,Carbonates,4000.0,11100.0,4.0,24.0,0.1,5000.0,28.0,45.0,0.32,6.0,30.0,89.0,ec0e407a18ca4702
Miscible HC,Sandstone,4000.0,13750.0,8.0,26.0,20.0,1500.0,19.0,41.0,0.3,73.0,25.0,80.0,610e140b631e716b
Miscible HC,Carbonates,4040.0,9150.0,8.0,18.0,3.0,5000.0,37.0,48.0,0.14,0.83,30.0,90.0,b8ddb6f373617fcf
Polymer,Sandstone,625.0,5450.0,15.0,34.0,7.0,5000.0,13.0,34.0,5.0,5000.0,45.0,82.0,201edf291d83a02c
Combustion,Sandstone,400.0,2065.0,32.0,32.0,650.0,650.0,19.0,19.0,660.0,660.0,94.0,94.0,0fdb39b6b0b141ca
Combustion,Unconsolidated sands,3120.0,3450.0,28.0,30.0,8000.0,15000.0,9.8,17.0,100.0,550.0,70.0,80.0,38a2be2ab7909d00
Combustion,Carbonates,8300.0,9500.0,17.0,20.0,10.0,15.0,31.0,38.0,1.4,2.0,50.0,85.0,d3aa4b40feb2f34b
Surfactants,Sandstone,625.0,14500.0,12.0,17.0,45.0,50.0,27.0,39.0,0.5,3.0,36.0,51.0,7aaec5a4d4af689b
Surfactants,Carbonates,4800.0,4800.0,14.0,14.0,20.0,60.0,34.0,34.0,2.6,2.6,50.0,50.0,4860fd16c83eb45a
Nitrates,Carbonates,2000.0,3000.0,50.0,50.0,0.1,1.0,30.0,30.0,2.0,2.0,50.0,50.0,02a6b642f99f9c09
Microbial,Sandstone,200.0,1572.0,17.0,26.0,180.0,200.0,23.0,31.5,19.0,31.0,54.0,54.0,d853640f94a37975
Hot water,Sandstone,1350.0,2100.0,32.0,34.0,1500.0,2000.0,12.0,14.0,900.0,3350.0,15.0,48.0,5aecbbf22bfd09c3
Miscible acid gas,Carbonates,4900.0,4900.0,8.0,8.0,10.0,100.0,32.0,40.0,0.6,1.5,40.0,40.0,28cf00eaadf70294
